Date mutation,Valeur fonciere,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,année,prix_m2
28/12/2021,238500.0,CLICHY,92,Appartement,32.0,2.0,2021,7453.125
21/06/2021,100000.0,VILLEFRANCHE-DE-ROUERGUE,12,Appartement,52.0,2.0,2021,1923.076923076923
10/11/2021,136000.0,LE MESNIL SIMON,28,Maison,60.0,3.0,2021,2266.6666666666665
26/04/2021,230000.0,POLLESTRES,66,Maison,108.0,5.0,2021,2129.6296296296296
15/09/2021,59000.0,MIGE,89,Maison,55.0,3.0,2021,1072.7272727272727
07/12/2021,365000.0,CHAZAY-D AZERGUES,69,Appartement,25.0,1.0,2021,14600.0
20/07/2021,650000.0,TOULON,83,Maison,150.0,5.0,2021,4333.333333333333
12/10/2021,142000.0,PERPIGNAN,66,Maison,51.0,3.0,2021,2784.3137254901962
26/04/2021,216569.0,LIBOURNE,33,Maison,94.0,4.0,2021,2303.925531914894
01/07/2021,530000.0,SAINT-MAURICE-DE-BEYNOST,01,Maison,132.0,5.0,2021,4015.151515151515
28/12/2021,442000.0,ERMONT,95,Maison,140.0,6.0,2021,3157.1428571428573
15/10/2021,60000.0,YZERNAY,49,Maison,37.0,1.0,2021,1621.6216216216217
27/07/2021,360000.0,SAINT-MANDRIER-SUR-MER,83,Maison,75.0,4.0,2021,4800.0
21/05/2021,45000.0,SACLAS,91,Maison,32.0,2.0,2021,1406.25
11/10/2021,540000.0,AUBAIS,30,Maison,223.0,8.0,2021,2421.52466367713
14/09/2021,116000.0,LE MANS,72,Maison,64.0,3.0,2021,1812.5
05/07/2021,139000.0,EPINAY-SOUS-SENART,91,Appartement,66.0,3.0,2021,2106.060606060606
17/12/2021,87530.0,DIEPPE,76,Appartement,46.0,1.0,2021,1902.8260869565217
27/10/2021,190000.0,NOTRE-DAME-D ALIERMONT,76,Maison,158.0,5.0,2021,1202.5316455696202
10/03/2021,1100000.0,SAINT-CLAIR-SUR-EPTE,95,Appartement,80.0,3.0,2021,13750.0
03/09/2021,292500.0,MENVILLE,31,Maison,112.0,5.0,2021,2611.6071428571427
06/12/2021,139100.0,POMMEVIC,82,Maison,150.0,4.0,2021,927.3333333333334
14/12/2021,125000.0,QUIMPER,29,Appartement,48.0,2.0,2021,2604.1666666666665
03/06/2021,185000.0,CHAMBRY,02,Maison,73.0,3.0,2021,2534.246575342466
21/06/2021,190000.0,BEAUVAIS,60,Maison,76.0,4.0,2021,2500.0
10/03/2021,200000.0,CAVES,11,Maison,80.0,3.0,2021,2500.0
27/07/2021,350000.0,CARBONNE,31,Maison,156.0,5.0,2021,2243.5897435897436
25/01/2021,261000.0,COMBS LA VILLE,77,Maison,86.0,5.0,2021,3034.8837209302324
